# schema=1
# generated_on=2026-09-04
# scikit_learn=1.7.2
# source=sklearn.tree.DecisionTreeClassifier,DecisionTreeRegressor
case,task,criterion,max_depth,random_state,role,row,x0,x1,target,weight,prediction,class0,class1,prob0,prob1
weighted_gini_depth2,classifier,gini,2,1729,train,0,0,2,2,1,,,,,
weighted_gini_depth2,classifier,gini,2,1729,train,1,1,1.5,2,3,,,,,
weighted_gini_depth2,classifier,gini,2,1729,train,2,2,0,9,1,,,,,
weighted_gini_depth2,classifier,gini,2,1729,train,3,3,3,9,2,,,,,
weighted_gini_depth2,classifier,gini,2,1729,train,4,4,2.5,9,4,,,,,
weighted_gini_depth2,classifier,gini,2,1729,train,5,5,2,2,1,,,,,
weighted_gini_depth2,classifier,gini,2,1729,train,6,6,0.5,2,2,,,,,
weighted_gini_depth2,classifier,gini,2,1729,train,7,7,1,9,3,,,,,
weighted_gini_depth2,classifier,gini,2,1729,probe,0,-1,2,,,2,2,9,1,0
weighted_gini_depth2,classifier,gini,2,1729,probe,1,1.5,1,,,2,2,9,1,0
weighted_gini_depth2,classifier,gini,2,1729,probe,2,2.5,0.5,,,9,2,9,0,1
weighted_gini_depth2,classifier,gini,2,1729,probe,3,3.5,2.7999999999999998,,,9,2,9,0,1
weighted_gini_depth2,classifier,gini,2,1729,probe,4,5.5,1.8,,,2,2,9,0.5,0.5
weighted_gini_depth2,classifier,gini,2,1729,probe,5,6.5,0.80000000000000004,,,2,2,9,0.5,0.5
weighted_gini_depth2,classifier,gini,2,1729,probe,6,8,2,,,2,2,9,0.5,0.5
weighted_entropy_depth2,classifier,entropy,2,1729,train,0,-3,0,3,2,,,,,
weighted_entropy_depth2,classifier,entropy,2,1729,train,1,-2,2,3,1,,,,,
weighted_entropy_depth2,classifier,entropy,2,1729,train,2,-1,1,8,4,,,,,
weighted_entropy_depth2,classifier,entropy,2,1729,train,3,0,3,3,1,,,,,
weighted_entropy_depth2,classifier,entropy,2,1729,train,4,1,0.5,8,3,,,,,
weighted_entropy_depth2,classifier,entropy,2,1729,train,5,2,2.5,8,2,,,,,
weighted_entropy_depth2,classifier,entropy,2,1729,train,6,3,1.5,3,1,,,,,
weighted_entropy_depth2,classifier,entropy,2,1729,train,7,4,4,8,3,,,,,
weighted_entropy_depth2,classifier,entropy,2,1729,probe,0,-4,1,,,3,3,8,1,0
weighted_entropy_depth2,classifier,entropy,2,1729,probe,1,-1.5,1.5,,,3,3,8,1,0
weighted_entropy_depth2,classifier,entropy,2,1729,probe,2,-0.5,2,,,8,3,8,0.2857142857142857,0.7142857142857143
weighted_entropy_depth2,classifier,entropy,2,1729,probe,3,0.5,0.80000000000000004,,,8,3,8,0,1
weighted_entropy_depth2,classifier,entropy,2,1729,probe,4,1.5,2.7999999999999998,,,8,3,8,0.2857142857142857,0.7142857142857143
weighted_entropy_depth2,classifier,entropy,2,1729,probe,5,3.5,1,,,8,3,8,0,1
weighted_entropy_depth2,classifier,entropy,2,1729,probe,6,5,4,,,8,3,8,0.2857142857142857,0.7142857142857143
weighted_squared_error_depth2,regressor,squared_error,2,1729,train,0,0,0,0.0,1,,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,train,1,1,0,1.0,2,,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,train,2,2,0,1.5,1,,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,train,3,3,0,5.0,3,,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,train,4,4,0,7.0,2,,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,train,5,5,0,7.5,4,,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,train,6,6,0,11.0,1,,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,train,7,7,0,13.0,2,,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,probe,0,-1,0,,,0.875,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,probe,1,0.5,0,,,0.875,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,probe,2,2.5,0,,,0.875,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,probe,3,3.5,0,,,5,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,probe,4,4.5,0,,,7.333333333333333,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,probe,5,6.5,0,,,12.333333333333334,,,,
weighted_squared_error_depth2,regressor,squared_error,2,1729,probe,6,8,0,,,12.333333333333334,,,,
